name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating,protein_fiber_interaction,sugars_squared,carbo_protein_ratio,total_macronutrients
100% Bran,N,C,70,4,1,130,10.0,5.0,6,280,25,3,1.0,0.33,68.402973,40.0,36,1.2499968750078125,10.0
100% Natural Bran,Q,C,120,3,5,15,2.0,8.0,8,135,0,3,1.0,1.0,33.983679,6.0,64,2.666657777807407,16.0
All-Bran,K,C,70,4,1,260,9.0,7.0,5,320,25,3,1.0,0.33,59.425505,36.0,25,1.7499956250109376,12.0
All-Bran with Extra Fiber,K,C,50,4,0,140,14.0,8.0,0,330,25,3,1.0,0.5,93.704912,56.0,0,1.9999950000125002,12.0
Almond Delight,R,C,110,2,2,200,1.0,14.0,8,-1,25,3,1.0,0.75,34.384843,2.0,64,6.999965000174999,18.0
Apple Cinnamon Cheerios,G,C,110,2,2,180,1.5,10.5,10,70,25,1,1.0,0.75,29.509541,3.0,100,5.249973750131249,14.5
Apple Jacks,K,C,110,2,0,125,1.0,11.0,14,30,25,2,1.0,1.0,33.174094,2.0,196,5.499972500137499,13.0
Basic 4,G,C,130,3,2,210,2.0,18.0,8,100,25,3,1.33,0.75,37.038562,6.0,64,5.9999800000666665,23.0
Bran Chex,R,C,90,2,1,200,4.0,15.0,6,125,25,1,1.0,0.67,49.120253,8.0,36,7.4999625001874985,18.0
Bran Flakes,P,C,90,3,0,210,5.0,13.0,5,190,25,3,1.0,0.67,53.313813,15.0,25,4.333318888937037,16.0
Cap'n'Crunch,Q,C,120,1,2,220,0.0,12.0,12,35,25,2,1.0,0.75,18.042851,0.0,144,11.999880001199987,15.0
Cheerios,G,C,110,6,2,290,2.0,17.0,1,105,25,1,1.0,1.25,50.764999,12.0,1,2.8333286111189815,25.0
Cinnamon Toast Crunch,G,C,120,1,3,210,0.0,13.0,9,45,25,2,1.0,0.75,19.823573,0.0,81,12.999870001299985,17.0
Clusters,G,C,110,3,2,140,2.0,13.0,7,105,25,3,1.0,0.5,40.400208,6.0,49,4.333318888937037,18.0
Cocoa Puffs,G,C,110,1,1,180,0.0,12.0,13,55,25,2,1.0,1.0,22.736446,0.0,169,11.999880001199987,14.0
Corn Chex,R,C,110,2,0,280,0.0,22.0,3,25,25,1,1.0,1.0,41.445019,0.0,9,10.999945000274998,24.0
Corn Flakes,K,C,100,2,0,290,1.0,21.0,2,35,25,1,1.0,1.0,45.863324,2.0,4,10.499947500262499,23.0
Corn Pops,K,C,110,1,0,90,1.0,13.0,12,20,25,2,1.0,1.0,35.782791,1.0,144,12.999870001299985,14.0
Count Chocula,G,C,110,1,1,180,0.0,12.0,13,65,25,2,1.0,1.0,22.396513,0.0,169,11.999880001199987,14.0
Cracklin' Oat Bran,K,C,110,3,3,140,4.0,10.0,7,160,25,3,1.0,0.5,40.448772,12.0,49,3.333322222259259,16.0
Cream of Wheat (Quick),N,H,100,3,0,80,1.0,21.0,0,-1,0,2,1.0,1.0,64.533816,3.0,0,6.999976666744444,24.0
Crispix,K,C,110,2,0,220,1.0,21.0,3,30,25,3,1.0,1.0,46.895644,2.0,9,10.499947500262499,23.0
Crispy Wheat & Raisins,G,C,100,2,1,140,2.0,11.0,10,120,25,3,1.0,0.75,36.176196,4.0,100,5.499972500137499,14.0
Double Chex,R,C,100,2,0,190,1.0,18.0,5,80,25,3,1.0,0.75,44.330856,2.0,25,8.999955000224999,20.0
Froot Loops,K,C,110,2,1,125,1.0,11.0,13,30,25,2,1.0,1.0,32.207582,2.0,169,5.499972500137499,14.0
Frosted Flakes,K,C,110,1,0,200,1.0,14.0,11,25,25,1,1.0,0.75,31.435973,1.0,121,13.999860001399986,15.0
Frosted Mini-Wheats,K,C,100,3,0,0,3.0,14.0,7,100,25,2,1.0,0.8,58.345141,9.0,49,4.666651111162962,17.0
Fruit & Fibre Dates; Walnuts; and Oats,P,C,120,3,2,160,5.0,12.0,10,200,25,3,1.25,0.67,40.917047,15.0,100,3.999986666711111,17.0
Fruitful Bran,K,C,120,3,0,240,5.0,14.0,12,190,25,3,1.33,0.67,41.015492,15.0,144,4.666651111162962,17.0
Fruity Pebbles,P,C,110,1,1,135,0.0,13.0,12,25,25,2,1.0,0.75,28.025765,0.0,144,12.999870001299985,15.0
Golden Crisp,P,C,100,2,0,45,0.0,11.0,15,40,25,1,1.0,0.88,35.252444,0.0,225,5.499972500137499,13.0
Golden Grahams,G,C,110,1,1,280,0.0,15.0,9,45,25,2,1.0,0.75,23.804043,0.0,81,14.999850001499984,17.0
Grape Nuts Flakes,P,C,100,3,1,140,3.0,15.0,5,85,25,3,1.0,0.88,52.076897,9.0,25,4.999983333388888,19.0
Grape-Nuts,P,C,110,3,0,170,3.0,17.0,3,90,25,3,1.0,0.25,53.371007,9.0,9,5.6666477778407405,20.0
Great Grains Pecan,P,C,120,3,3,75,3.0,13.0,4,100,25,3,1.0,0.33,45.811716,9.0,16,4.333318888937037,19.0
Honey Graham Ohs,Q,C,120,1,2,220,1.0,12.0,11,45,25,2,1.0,1.0,21.871292,1.0,121,11.999880001199987,15.0
Honey Nut Cheerios,G,C,110,3,1,250,1.5,11.5,10,90,25,1,1.0,0.75,31.072217,4.5,100,3.833320555598148,15.5
Honey-comb,P,C,110,1,0,180,0.0,14.0,11,35,25,1,1.0,1.33,28.742414,0.0,121,13.999860001399986,15.0
Just Right Crunchy  Nuggets,K,C,110,2,1,170,1.0,17.0,6,60,100,3,1.0,1.0,36.523683,2.0,36,8.4999575002125,20.0
Just Right Fruit & Nut,K,C,140,3,1,170,2.0,20.0,9,95,100,3,1.3,0.75,36.471512,6.0,81,6.666644444518518,24.0
Kix,G,C,110,2,1,260,0.0,21.0,3,40,25,2,1.0,1.5,39.241114,0.0,9,10.499947500262499,24.0
Life,Q,C,100,4,2,150,2.0,12.0,6,95,25,2,1.0,0.67,45.328074,8.0,36,2.99999250001875,18.0
Lucky Charms,G,C,110,2,1,180,0.0,12.0,12,55,25,2,1.0,1.0,26.734515,0.0,144,5.999970000149999,15.0
Maypo,A,H,100,4,1,0,0.0,16.0,3,95,25,2,1.0,1.0,54.850917,0.0,9,3.9999900000250004,21.0
Muesli Raisins; Dates; & Almonds,R,C,150,4,3,95,3.0,16.0,11,170,25,3,1.0,1.0,37.136863,12.0,121,3.9999900000250004,23.0
Muesli Raisins; Peaches; & Pecans,R,C,150,4,3,150,3.0,16.0,11,170,25,3,1.0,1.0,34.139765,12.0,121,3.9999900000250004,23.0
Mueslix Crispy Blend,K,C,160,3,2,150,3.0,17.0,13,160,25,3,1.5,0.67,30.313351,9.0,169,5.6666477778407405,22.0
Multi-Grain Cheerios,G,C,100,2,1,220,2.0,15.0,6,90,25,1,1.0,1.0,40.105965,4.0,36,7.4999625001874985,18.0
Nut&Honey Crunch,K,C,120,2,1,190,0.0,15.0,9,40,25,2,1.0,0.67,29.924285,0.0,81,7.4999625001874985,18.0
Nutri-Grain Almond-Raisin,K,C,140,3,2,220,3.0,21.0,7,130,25,3,1.33,0.67,40.69232,9.0,49,6.999976666744444,26.0
Nutri-grain Wheat,K,C,90,3,0,170,3.0,18.0,2,90,25,3,1.0,1.0,59.642837,9.0,4,5.9999800000666665,21.0
Oatmeal Raisin Crisp,G,C,130,3,2,170,1.5,13.5,10,120,25,3,1.25,0.5,30.450843,4.5,100,4.49998500005,18.5
Post Nat. Raisin Bran,P,C,120,3,1,200,6.0,11.0,14,260,25,3,1.33,0.67,37.840594,18.0,196,3.666654444485185,15.0
Product 19,K,C,100,3,0,320,1.0,20.0,3,45,100,3,1.0,1.0,41.50354,3.0,9,6.666644444518518,23.0
Puffed Rice,Q,C,50,1,0,0,0.0,13.0,0,15,0,3,0.5,1.0,60.756112,0.0,0,12.999870001299985,14.0
Puffed Wheat,Q,C,50,2,0,0,1.0,10.0,0,50,0,3,0.5,1.0,63.005645,2.0,0,4.999975000125,12.0
Quaker Oat Squares,Q,C,100,4,1,135,2.0,14.0,6,110,25,3,1.0,0.5,49.511874,8.0,36,3.4999912500218753,19.0
Quaker Oatmeal,Q,H,100,5,2,0,2.7,-1.0,-1,110,0,1,1.0,0.67,50.828392,13.5,1,-0.19999960000080003,6.0
Raisin Bran,K,C,120,3,1,210,5.0,14.0,12,240,25,2,1.33,0.75,39.259197,15.0,144,4.666651111162962,18.0
Raisin Nut Bran,G,C,100,3,2,140,2.5,10.5,8,140,25,3,1.0,0.5,39.7034,7.5,64,3.499988333372222,15.5
Raisin Squares,K,C,90,2,0,0,2.0,15.0,6,110,25,3,1.0,0.5,55.333142,4.0,36,7.4999625001874985,17.0
Rice Chex,R,C,110,1,0,240,0.0,23.0,2,30,25,1,1.0,1.13,41.998933,0.0,4,22.999770002299975,24.0
Rice Krispies,K,C,110,2,0,290,0.0,22.0,3,35,25,1,1.0,1.0,40.560159,0.0,9,10.999945000274998,24.0
Shredded Wheat,N,C,80,2,0,0,3.0,16.0,0,95,0,1,0.83,1.0,68.235885,6.0,0,7.999960000199999,18.0
Shredded Wheat 'n'Bran,N,C,90,3,0,0,4.0,19.0,0,140,0,1,1.0,0.67,74.472949,12.0,0,6.333312222292593,22.0
Shredded Wheat spoon size,N,C,90,3,0,0,3.0,20.0,0,120,0,1,1.0,0.67,72.801787,9.0,0,6.666644444518518,23.0
Smacks,K,C,110,2,1,70,1.0,9.0,15,40,25,2,1.0,0.75,31.230054,2.0,225,4.499977500112499,12.0
Special K,K,C,110,6,0,230,1.0,16.0,3,55,25,1,1.0,1.0,53.131324,6.0,9,2.66666222222963,22.0
Strawberry Fruit Wheats,N,C,90,2,0,15,3.0,15.0,5,90,25,2,1.0,1.0,59.363993,6.0,25,7.4999625001874985,17.0
Total Corn Flakes,G,C,110,2,1,200,0.0,21.0,3,35,100,3,1.0,1.0,38.839746,0.0,9,10.499947500262499,24.0
Total Raisin Bran,G,C,140,3,1,190,4.0,15.0,14,230,100,3,1.5,1.0,28.592785,12.0,196,4.999983333388888,19.0
Total Whole Grain,G,C,100,3,1,200,3.0,16.0,3,110,100,3,1.0,1.0,46.658844,9.0,9,5.333315555614814,20.0
Triples,G,C,110,2,1,250,0.0,21.0,3,60,25,3,1.0,0.75,39.106174,0.0,9,10.499947500262499,24.0
Trix,G,C,110,1,1,140,0.0,13.0,12,25,25,2,1.0,1.0,27.753301,0.0,144,12.999870001299985,15.0
Wheat Chex,R,C,100,3,1,230,3.0,17.0,3,115,25,1,1.0,0.67,49.787445,9.0,9,5.6666477778407405,21.0
Wheaties,G,C,100,3,1,200,3.0,17.0,3,110,25,1,1.0,1.0,51.592193,9.0,9,5.6666477778407405,21.0
Wheaties Honey Gold,G,C,110,2,1,200,1.0,16.0,8,60,25,1,1.0,0.75,36.187559,2.0,64,7.999960000199999,19.0
